"address","neighborhood","type","sqft"
"48 TOWNSEND ST","Roxbury ","Housing Site ",17199
"50 TYLER ST","Chinatown ","Designated ",1400
"516 MAIN ST","Charlestown ","Future Development Site ",5245
"52 ALPINE ST","Roxbury ","Housing Site ",2050
"52 ELMONT ST","Dorchester ","Housing Site ",3900
"52 TYLER ST","Chinatown ","Designated ",1400
"54 ALPINE ST","Roxbury ","Housing Site ",1722
"54 TREMONT ST","Charlestown ","Future Development Site ",1186
"54 TYLER ST","Chinatown/Leather District ","Designated ",1352
"55 HUDSON ST","Chinatown ","Designated ",1500
"56 ALPINE ST","Roxbury ","Housing Site ",1582
"56 TYLER ST","Chinatown ","Designated ",1100
"57 HOLLANDER ST","Roxbury ","Housing Site ",3250
"57 HUDSON ST","Chinatown ","Designated ",1376
"58 ALPINE ST","Roxbury ","Housing Site ",2023
"58 TYLER ST","Chinatown ","Designated ",1320
"59 HOLLANDER ST","Roxbury ","Housing Site ",3250
"6 LANDOR RD","Mattapan ","Sliver Parcel ",2447
"600 SUMMER ST","South Boston Waterfront ","Industrial Park ",194532012
"62 THIRTEENTH ST","Charlestown ","Performing Asset ",26940
"626 WARREN ST","Roxbury ","Housing Site ",5013
"65 VERNON ST","Roxbury ","Street ",10135
"666 SUMMER ST","South Boston ","Industrial Park ",2023882
"68 BARTLETT ST","Roxbury ","Housing Site ",9009
"68 DALE ST","Roxbury ","Housing Site ",9643
"68 ROWE ST","Roslindale ","Housing Site ",126542
"68 RUTLAND ST","South End ","Housing Site ",1900
"7 WESTMINSTER AV","Roxbury ","Housing Site ",2738
"71 HOLWORTHY ST","Roxbury ","Housing Site ",3333
"73 HOLWORTHY ST","Roxbury ","Housing Site ",3333
"74 HOLWORTHY ST","Roxbury ","Housing Site ",3333
"74 RUTLAND ST","South End ","Community Garden ",3749
"75 THIRD AV","Charlestown ","Performing Asset ",52078
"76 HOLWORTHY ST","Roxbury ","Housing Site ",3333
"78 HOLWORTHY ST","Roxbury ","Housing Site ",3333
"8 KENSINGTON ST","Roxbury ","Open Space ",1683
"80 HOLWORTHY ST","Roxbury ","Housing Site ",3334
"82 MASCOT ST","Mattapan ","Sliver Parcel ",4321
"85 BUNKER HILL ST","Charlestown ","Sliver Parcel ",1905
"85 SELDEN ST","Dorchester ","Housing Site ",6078
"9 WESTMINSTER TE","Roxbury ","Housing Site ",3023
"93-95 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",3450
"96 THIRTEENTH ST","Charlestown ","Performing Asset ",18988
"97 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",2004
"ALPINE PL","Roxbury ","Housing Site ",803
"ATLANTIC AV","Downtown ","Open Space ",51500
"ATLANTIC AV","NULL","Non Housing Site ",115004
"AUSTIN ST","Charlestown ","Future Development Site ",131480
"BOWDOIN SQ","Downtown ","Open Space ",14288
"CABOT ST","Roxbury ","Future Development Site ",2000
"CABOT ST","South End ","Community Garden ",6879
"CABOT ST","Roxbury ","Future Development Site ",7468
"CABOT ST","Roxbury ","Future Development Site ",5760
"CAMBRIDGE ST","Downtown ","Open Space ",8252
"CAMBRIDGE ST","Downtown ","Open Space ",243879
"CAUSEWAY ST","Downtown ","Sliver Parcel ",6020
"CAUSEWAY ST","Downtown ","Sliver Parcel ",36843
"CEDAR ST","Roxbury ","Community Garden ",3616
"CIRCUIT ST","Roxbury ","Housing Site ",3766
"CONGRESS ST","Downtown ","Open Space ",21059
"CORNHILL ST","Downtown ","Open Space ",5075
"CROSS ST","North End ","Parking ",12128
"DALE ST","Roxbury ","Sliver Parcel ",7460
"DOWNING ST","Roxbury ","Future Development Site ",391
"E BERKELEY ST","Back Bay ","Open Space ",4153
"E INDIA RO","Downtown ","Sliver Parcel ",2371
"EASTERN AV","North End ","Parking ",876
"EASTERN AV","North End ","Parking ",25550
"EASTERN AV","North End ","Parking ",20568
"EIGHTH ST","Charlestown ","Open Space ",48756
"EIGHTH ST","Charlestown ","Open Space ",8125
"FIFTH ST","Charlestown ","Designated ",735686
"FM MISHAWUM ST","Charlestown ","Future Development Site ",5245
"FRONT ST","Charlestown ","Future Development Site ",9156
"FULTON ST","North End ","Parking ",25272
"HAROLD ST","Roxbury ","Open Space ",24883
"HARRISHOF ST","Roxbury ","Sliver Parcel ",39
"HAWKINS ST","Downtown ","Sliver Parcel ",1169
"HAWKINS ST","Downtown ","Sliver Parcel ",4090
"HERALD ST","South End ","Parking ",2294
"HOLLAND PL","Chinatown ","Designated ",1373
"HOLWORTHY ST","Roxbury ","Sliver Parcel ",3750
"HOLWORTHY ST","Roxbury ","Housing Site ",38767
"HOLWORTHY ST","Roxbury ","Sliver Parcel ",2250
"HUDSON ST","Chinatown ","Designated ",1252
"HUDSON ST","Chinatown ","Designated ",1400
"HUDSON ST","Chinatown ","Designated ",1400
"HUDSON ST","Chinatown ","Designated ",1041
"HUDSON ST","Chinatown ","Designated ",1400
"LYNDEBORO PL","Back Bay ","Sliver Parcel ",5
"LYNDEBORO PL","Back Bay ","Sliver Parcel ",10
"LYNDEBORO PL","Back Bay ","Sliver Parcel ",175
"M L KING JR BL","Roxbury ","Sliver Parcel ",1065
"MAGNOLIA ST","Roxbury ","Open Space ",4174
"MASSACHUSETTS AV","Back Bay ","Sliver Parcel ",4855
"MEAD ST","Charlestown ","Sliver Parcel ",2859
"MILLICENT WY","Back Bay ","Open Space ",19524
"MILLICENT WY","Back Bay ","Open Space ",3190
"MILLICENT WY","Back Bay ","Open Space ",10855
"MILLS ST","Roxbury ","Parking ",3047
"NEW CHARDON","Downtown ","Sliver Parcel ",1400
"NEW DUDLEY ST","Roxbury ","Future Development Site ",362959
"NEW SUDBURY ST","Downtown ","Sliver Parcel ",3080
"PAWNING ST","Roxbury ","Street ",3441
"PURCHASE ST","Downtown ","Street ",4707
"RICHMOND ST","North End ","Open Space ",8315
"RIVERMOOR ST","West Roxbury ","Open Space ",51400
"ROXBURY ST","Roxbury ","Sliver Parcel ",606
"RUSSELL ST","Charlestown ","Sliver Parcel ",1406
"RUSSELL ST","Charlestown ","Sliver Parcel ",6899
"RUSSELL ST","Charlestown ","Sliver Parcel ",3300
"RUTHERFORD AV","Charlestown ","Future Development Site ",129692
"RUTHERFORD AV","Charlestown ","Future Development Site ",2560
"RUTLAND ST","South End ","Street ",4023
"SARGENTS WHARF","North End ","Parking ",13350
"SCHOOL ST","Charlestown ","Sliver Parcel ",65
"SEVENTH ST","Charlestown ","Performing Asset ",41050
"SHAWMUT AV","South End ","Future Development Site ",8543
"SHAWMUT AV","Back Bay ","Open Space ",2614
"SHAWMUT AV","Roxbury ","Street ",20490
"SIXTEENTH ST","Charlestown ","Performing Asset ",93542
"SIXTH ST","Charlestown ","Performing Asset ",13458
"SIXTH ST","Charlestown ","Open Space ",13994
"SONOMA ST","Roxbury ","Sliver Parcel ",315
"STATE ST","North End ","Open Space ",8654
"STATE ST","Downtown ","Street ",22926
"STREET A","Charlestown ","Sliver Parcel ",1400
"SUMMER ST","South Boston ","Industrial Park ",16412
"TERMINAL ST","Charlestown ","Performing Asset ",126497
"THIRTEENTH ST","Charlestown ","Open Space ",3874
"THIRTEENTH ST","Charlestown ","Designated ",75515
"THIRTEENTH ST","Charlestown ","Performing Asset ",76411
"TREMONT ST","South End ","Community Garden ",5446
"TREMONT ST","Back Bay ","Sliver Parcel ",6679
"TREMONT ST","Back Bay ","Sliver Parcel ",7845
"TUCKER ST","Mattapan ","Housing Site ",7815
"TYLER ST","Chinatown/Leather District ","Designated ",6942
"TYLER ST","Chinatown ","Designated ",1400
"VILLAGE CT","Back Bay ","Sliver Parcel ",3262
"VILLAGE CT","Back Bay ","Open Space ",11737
"WAPPING ST","Charlestown ","Parking ",1763
"WARRENTON ST","Back Bay ","Open Space ",6931
"WARWICK ST","Roxbury ","Sliver Parcel ",1730
"WASHINGTON ST","South End ","Open Space ",470
"WASHINGTON ST","Roxbury ","Sliver Parcel ",476
"WASHINGTON ST","Roxbury ","Sliver Parcel ",4905
"WASHINGTON ST","Chinatown ","Designated ",27264
"WELLINGTON ST","South End ","Open Space ",3766
